Distribuído: True | world_size=4 | device=cuda:0
Construindo modelo...
Hierarquia: 3 estágio(s), 2 módulo(s) de roteamento
Parâmetros: 874.3M
Métricas em checkpoints/train_pt/hnet_2stage_L.metrics.txt
passo    880 | lm 1.3854 | ppl 4.00 | bpb 1.9987 | bpic 0.00 | ratio_loss 0.0000 | lb 2.0294 | lr 2.64e-04 | 2.15s/step | 15,260 tok/s
passo    890 | lm 1.3629 | ppl 3.91 | bpb 1.9663 | bpic 0.00 | ratio_loss 0.0000 | lb 2.0651 | lr 2.67e-04 | 2.18s/step | 15,044 tok/s
passo    900 | lm 1.3515 | ppl 3.86 | bpb 1.9498 | bpic 0.00 | ratio_loss 0.0000 | lb 2.0305 | lr 2.70e-04 | 2.15s/step | 15,239 tok/s
passo    910 | lm 1.3018 | ppl 3.68 | bpb 1.8781 | bpic 0.00 | ratio_loss 0.0000 | lb 2.0514 | lr 2.73e-04 | 2.16s/step | 15,144 tok/s
passo    920 | lm 1.3478 | ppl 3.85 | bpb 1.9445 | bpic 0.00 | ratio_loss 0.0000 | lb 2.0238 | lr 2.76e-04 | 2.14s/step | 15,298 tok/s
passo    930 | lm 1.2961 | ppl 3.65 | bpb 1.8698 | bpic 0.00 | ratio_loss 0.0000 | lb 2.0275 | lr 2.79e-04 | 2.14s/step | 15,298 tok/s
passo    940 | lm 1.3117 | ppl 3.71 | bpb 1.8924 | bpic 0.00 | ratio_loss 0.0000 | lb 2.0256 | lr 2.82e-04 | 2.14s/step | 15,300 tok/s
passo    950 | lm 1.3039 | ppl 3.68 | bpb 1.8811 | bpic 0.00 | ratio_loss 0.0000 | lb 2.0511 | lr 2.85e-04 | 2.17s/step | 15,106 tok/s
passo    960 | lm 1.2873 | ppl 3.62 | bpb 1.8572 | bpic 0.00 | ratio_loss 0.0000 | lb 2.0196 | lr 2.88e-04 | 2.11s/step | 15,511 tok/s
passo    970 | lm 1.2692 | ppl 3.56 | bpb 1.8311 | bpic 0.00 | ratio_loss 0.0000 | lb 2.0288 | lr 2.91e-04 | 2.13s/step | 15,350 tok/s
passo    980 | lm 1.3098 | ppl 3.71 | bpb 1.8897 | bpic 0.00 | ratio_loss 0.0000 | lb 2.0270 | lr 2.94e-04 | 2.15s/step | 15,253 tok/s
passo    990 | lm 1.3376 | ppl 3.81 | bpb 1.9298 | bpic 0.00 | ratio_loss 0.0000 | lb 2.0322 | lr 2.97e-04 | 2.15s/step | 15,245 tok/s
passo   1000 | lm 1.3213 | ppl 3.75 | bpb 1.9063 | bpic 0.00 | ratio_loss 0.0000 | lb 2.0330 | lr 3.00e-04 | 2.15s/step | 15,214 tok/s
Checkpoint salvo em checkpoints/pt-hnet/step_1000.pt
passo   1010 | lm 1.3378 | ppl 3.81 | bpb 1.9300 | bpic 0.00 | ratio_loss 0.0000 | lb 2.0150 | lr 3.00e-04 | 4.37s/step | 7,500 tok/s
passo   1020 | lm 1.3163 | ppl 3.73 | bpb 1.8990 | bpic 0.00 | ratio_loss 0.0000 | lb 2.0323 | lr 3.00e-04 | 2.15s/step | 15,246 tok/s
passo   1030 | lm 1.3082 | ppl 3.70 | bpb 1.8873 | bpic 0.00 | ratio_loss 0.0000 | lb 2.0288 | lr 3.00e-04 | 2.13s/step | 15,408 tok/s
passo   1040 | lm 1.2950 | ppl 3.65 | bpb 1.8683 | bpic 0.00 | ratio_loss 0.0000 | lb 2.0063 | lr 3.00e-04 | 2.09s/step | 15,703 tok/s
passo   1050 | lm 1.3035 | ppl 3.68 | bpb 1.8805 | bpic 0.00 | ratio_loss 0.0000 | lb 2.0328 | lr 3.00e-04 | 2.14s/step | 15,284 tok/s
passo   1060 | lm 1.3389 | ppl 3.81 | bpb 1.9316 | bpic 0.00 | ratio_loss 0.0000 | lb 2.0404 | lr 3.00e-04 | 2.15s/step | 15,255 tok/s
passo   1070 | lm 1.3125 | ppl 3.72 | bpb 1.8935 | bpic 0.00 | ratio_loss 0.0000 | lb 2.0187 | lr 3.00e-04 | 2.14s/step | 15,323 tok/s
passo   1080 | lm 1.3412 | ppl 3.82 | bpb 1.9349 | bpic 0.00 | ratio_loss 0.0000 | lb 2.0252 | lr 3.00e-04 | 2.15s/step | 15,241 tok/s
passo   1090 | lm 1.3515 | ppl 3.86 | bpb 1.9499 | bpic 0.00 | ratio_loss 0.0000 | lb 2.0319 | lr 3.00e-04 | 2.14s/step | 15,301 tok/s
passo   1100 | lm 1.3121 | ppl 3.71 | bpb 1.8930 | bpic 0.00 | ratio_loss 0.0000 | lb 2.0125 | lr 3.00e-04 | 2.12s/step | 15,425 tok/s
passo   1110 | lm 1.2720 | ppl 3.57 | bpb 1.8351 | bpic 0.00 | ratio_loss 0.0000 | lb 2.0173 | lr 3.00e-04 | 2.12s/step | 15,449 tok/s
passo   1120 | lm 1.3041 | ppl 3.68 | bpb 1.8814 | bpic 0.00 | ratio_loss 0.0000 | lb 2.0184 | lr 3.00e-04 | 2.14s/step | 15,293 tok/s
passo   1130 | lm 1.3275 | ppl 3.77 | bpb 1.9152 | bpic 0.00 | ratio_loss 0.0000 | lb 2.0265 | lr 3.00e-04 | 2.14s/step | 15,331 tok/s
passo   1140 | lm 1.3116 | ppl 3.71 | bpb 1.8922 | bpic 0.00 | ratio_loss 0.0000 | lb 2.0215 | lr 3.00e-04 | 2.12s/step | 15,442 tok/s
passo   1150 | lm 1.2868 | ppl 3.62 | bpb 1.8565 | bpic 0.00 | ratio_loss 0.0000 | lb 2.0185 | lr 3.00e-04 | 2.13s/step | 15,383 tok/s
passo   1160 | lm 1.3318 | ppl 3.79 | bpb 1.9214 | bpic 0.00 | ratio_loss 0.0000 | lb 2.0389 | lr 3.00e-04 | 2.18s/step | 14,999 tok/s
passo   1170 | lm 1.3176 | ppl 3.73 | bpb 1.9009 | bpic 0.00 | ratio_loss 0.0000 | lb 2.0192 | lr 3.00e-04 | 2.15s/step | 15,239 tok/s
passo   1180 | lm 1.2723 | ppl 3.57 | bpb 1.8355 | bpic 0.00 | ratio_loss 0.0000 | lb 2.0203 | lr 3.00e-04 | 2.12s/step | 15,421 tok/s
passo   1190 | lm 1.3002 | ppl 3.67 | bpb 1.8758 | bpic 0.00 | ratio_loss 0.0000 | lb 2.0290 | lr 3.00e-04 | 2.14s/step | 15,279 tok/s
passo   1200 | lm 1.2599 | ppl 3.53 | bpb 1.8177 | bpic 0.00 | ratio_loss 0.0000 | lb 2.0226 | lr 3.00e-04 | 2.12s/step | 15,473 tok/s
